baker_name,baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Martha Collison,Martha,17,Student,"Ascot, Berkshire",5,8,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,5,OUT
Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,1,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,4,IN
Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,2,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,9,IN
Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,3,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,5,IN
Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,4,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,2,IN
Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,5,Chicken and Bacon Pie,Midnight Meringue,2,IN
Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,6,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,4,IN
Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,7,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,2,IN
Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,8,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,3,Runner-up
Mat Riley,Mat,37,Fire fighter,London,6,1,Gin and Tonic Madeira Cake,Black Forest Gateau,7,IN
Mat Riley,Mat,37,Fire fighter,London,6,2,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,5,IN
Mat Riley,Mat,37,Fire fighter,London,6,3,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,8,IN
Mat Riley,Mat,37,Fire fighter,London,6,4,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,7,IN
Mat Riley,Mat,37,Fire fighter,London,6,5,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,4,IN
Mat Riley,Mat,37,Fire fighter,London,6,6,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,1,STAR BAKER
Mat Riley,Mat,37,Fire fighter,London,6,7,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,6,OUT
Michael Chakraverty,Michael,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,NA,NA,NA,NA,NA
Michael Georgiou,Michael,20,Student,Durham,7,1,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,3,IN
Michael Georgiou,Michael,20,Student,Durham,7,2,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,9,IN
Michael Georgiou,Michael,20,Student,Durham,7,3,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,7,OUT
Michelle Evans-Fecci,Michelle,35,Print shop administrator,"Tenby, Wales",10,NA,NA,NA,NA,NA
Miranda Browne,Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,8,IN
Miranda Browne,Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,2,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,3,IN
Miranda Browne,Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,3,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",3,IN
Miranda Browne,Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,4,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",1,IN
Miranda Browne,Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,5,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",1,IN
Miranda Browne,Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,6,Lemon Cupcake,Eliminated after signature,NA,Runner-up
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,1,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,12,IN
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,2,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,9,IN
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,3,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,9,IN
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,4,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,8,IN
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,5,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,1,STAR BAKER
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,6,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,4,IN
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,7,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,1,IN
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,8,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,1,STAR BAKER
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,9,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,4,STAR BAKER
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,10,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,1,WINNER
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,1,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,1,STAR BAKER
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,2,Fennel and Rye Thins,Hansel and Gretel Scene,2,IN
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,3,Cider and Walnut Crusty Rolls,'Full English' Stromboli,5,IN
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,4,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,4,IN
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,5,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,4,IN
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,6,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,1,IN
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,7,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,2,IN
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,8,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",3,IN
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,9,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,3,IN
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,10,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,1,WINNER
Natasha Stringer,Natasha,36,Midwife,"Tamworth, Staffordshire",3,1,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,12,OUT
Norman Calder,Norman,66,Retired Naval Officer,"Portknockie, Moray",5,1,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,11,IN
Norman Calder,Norman,66,Retired Naval Officer,"Portknockie, Moray",5,2,Farthing Biscuits,Zulu Boats at Dawn,10,IN
Norman Calder,Norman,66,Retired Naval Officer,"Portknockie, Moray",5,3,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,4,IN
Norman Calder,Norman,66,Retired Naval Officer,"Portknockie, Moray",5,4,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,8,IN
Norman Calder,Norman,66,Retired Naval Officer,"Portknockie, Moray",5,5,Tarte au Citron,Pieful Tower,5,OUT
Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",6,1,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,10,IN
Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",6,2,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,10,IN
Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",6,3,Cranberry and Orange Sweet Soda Breads,King of the Jungle,10,IN
Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",6,4,Almond Crème Brûlées,Berry Cheesecake Tower,1,IN
Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",6,5,Carrot & Pecan Cake,Dessert Island Getaway,2,IN
Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",6,6,Christmas Frangipane Tart,Savoury and Sweet Bouchées,5,IN
Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",6,7,Not a Boaring Pie,Charlotte Rose,2,IN
Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",6,8,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,5,OUT
Peter Abatan,Peter,52,IT programme manager,"Southend, Essex",8,1,Coconut Cake,'Bread on a Breadboard' Cake,10,OUT
Peter Maloney,Peter,43,Sales manager,"Windsor, Berkshire",3,1,"Pear, Muscat & Chocolate",Jubilee Cake,3,IN
Peter Maloney,Peter,43,Sales manager,"Windsor, Berkshire",3,2,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",11,OUT
Phil Thorne,Phil,56,HGV driver,Rainham,10,NA,NA,NA,NA,NA
Priya O'Shea,Priya,34,Marketing consultant,Leicester,10,NA,NA,NA,NA,NA
Rahul Mandal,Rahul,30,Research scientist,Rotherham,9,NA,NA,NA,NA,NA
Rav Bansal,Rav,28,Student support,Erith,7,1,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,8,IN
Rav Bansal,Rav,28,Student support,Erith,7,2,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,6,IN
Rav Bansal,Rav,28,Student support,Erith,7,3,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,10,IN
Rav Bansal,Rav,28,Student support,Erith,7,4,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,9,IN
Rav Bansal,Rav,28,Student support,Erith,7,5,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,8,IN
Rav Bansal,Rav,28,Student support,Erith,7,6,Mandarin Margarita Meringue Pie,Blossom Cake,3,OUT
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,1,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,10,IN
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,2,Rosemary Seeded Crackers,Pirates!,1,STAR BAKER
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,3,Rye and Cranberry Rolls,Pesto Pinwheel,6,IN
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,4,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,5,STAR BAKER
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,5,Fig and Orange Tart,Three Course Autumn Pie Feast,7,IN
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,6,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,5,IN
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,7,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",1,STAR BAKER
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,8,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,4,STAR BAKER
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,9,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,2,STAR BAKER
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,10,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,3,Runner-up
Robert Billington,Robert,25,Photographer,London,2,1,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,3,IN
Robert Billington,Robert,25,Photographer,London,2,2,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",5,IN
Robert Billington,Robert,25,Photographer,London,2,3,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,4,IN
Robert Billington,Robert,25,Photographer,London,2,4,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,7,IN
Robert Billington,Robert,25,Photographer,London,2,5,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,3,OUT
Robert Smart,Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,1,Pecan and Apple Cake,Raspberry Chocolate Cake,1,STAR BAKER
Robert Smart,Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,2,Twisty Rye Bread Sticks,Tribute Loaf,5,IN
Robert Smart,Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,3,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,2,IN
Robert Smart,Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,4,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,3,IN
Robert Smart,Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,5,Blueberry & Orange Traybake,Dalek,4,OUT
Rosie Brandreth-Poynter,Rosie,28,Veterinary surgeon,Somerset,10,NA,NA,NA,NA,NA
Ruby Bhogal,Ruby,29,Project manager,London,9,NA,NA,NA,NA,NA
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,1,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,12,IN
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,2,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,3,STAR BAKER
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,3,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,3,IN
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,4,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",6,IN
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,5,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,6,IN
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,6,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,1,STAR BAKER
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,7,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,2,IN
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,8,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,1,STAR BAKER
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,9,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",4,IN
Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,10,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",2,Runner-up
Ruth Clemens,Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,1,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,IN
Ruth Clemens,Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,2,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,5,IN
Ruth Clemens,Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,3,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",2,IN
Ruth Clemens,Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,4,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",4,IN
Ruth Clemens,Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,5,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",3,IN
Ruth Clemens,Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,6,"Mint, Ginger and Blackberry Cake",NA,NA,Runner-up
Ryan Chong,Ryan,38,Photographer,Bristol,3,1,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,8,IN
Ryan Chong,Ryan,38,Photographer,Bristol,3,2,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",5,IN
Ryan Chong,Ryan,38,Photographer,Bristol,3,3,Spiced Pear Tarte Tatin,UNKNOWN,5,IN
Ryan Chong,Ryan,38,Photographer,Bristol,3,4,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",7,IN
Ryan Chong,Ryan,38,Photographer,Bristol,3,5,Curry Spiced Seabass Wellington,Key Lime Pie,8,STAR BAKER
Ryan Chong,Ryan,38,Photographer,Bristol,3,6,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",6,IN
Ryan Chong,Ryan,38,Photographer,Bristol,3,7,Lardy Cakes,Char Siu Bao,6,OUT
Sandy Docherty,Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,1,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,9,IN
Sandy Docherty,Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,2,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,4,IN
Sandy Docherty,Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,3,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,7,IN
Sandy Docherty,Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,4,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",6,OUT
Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,1,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,1,IN
Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,2,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,10,IN
Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,3,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,8,IN
Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,4,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,4,IN
Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,5,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,4,IN
Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,6,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,4,IN
Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,7,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,7,OUT
Selasi Gbormittah,Selasi,30,Client service associate,London,7,1,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",1,IN
Selasi Gbormittah,Selasi,30,Client service associate,London,7,2,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,11,IN
Selasi Gbormittah,Selasi,30,Client service associate,London,7,3,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,5,IN
Selasi Gbormittah,Selasi,30,Client service associate,London,7,4,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,8,IN
Selasi Gbormittah,Selasi,30,Client service associate,London,7,5,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",3,IN
Selasi Gbormittah,Selasi,30,Client service associate,London,7,6,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,7,IN
Selasi Gbormittah,Selasi,30,Client service associate,London,7,7,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",6,IN
Selasi Gbormittah,Selasi,30,Client service associate,London,7,8,Bouquet of Flowers,Fruity Tudor Marchpane,3,IN
Selasi Gbormittah,Selasi,30,Client service associate,London,7,9,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,4,OUT
Simon Blackwell,Simon,31,Rugby Coach,Norfolk,2,1,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,9,IN
Simon Blackwell,Simon,31,Rugby Coach,Norfolk,2,2,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",11,OUT
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,1,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,5,IN
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,2,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,2,IN
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,3,Tagine Teacakes,'Picnic Basket' Bread Sculpture,6,IN
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,4,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,4,IN
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,5,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",1,STAR BAKER
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,6,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,2,IN
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,7,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,3,IN
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,8,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,4,IN
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,9,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,1,STAR BAKER
Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,10,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,2,WINNER
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,1,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,11,IN
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,2,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,9,IN
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,3,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,1,IN
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,4,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,1,IN
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,5,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,4,IN
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,6,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,6,IN
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,7,My All Time Favourite Desserts,Pastry Surprise,4,IN
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,8,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,3,STAR BAKER
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,9,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,2,OUT
Steph Blackwell,Steph,28,Shop assistant,Chester,10,NA,NA,NA,NA,NA
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,1,Bonfire Night Cake,'A Baker's Lunch' Cake,6,STAR BAKER
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,2,Amarpressi Biscuits,'Check Bake' Game,6,STAR BAKER
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,3,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,3,IN
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,4,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,7,IN
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,5,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,5,IN
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,6,'Fleetwood Mac' Decorative Pies,Christmas Pie,3,IN
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,7,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,1,STAR BAKER
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,8,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,1,IN
